CentreName,LearnerCode,BookingType,LeadSource,DiscountType,Gender,Age,Nationality,CourseLevel,academic_stage,subject_cluster,delivery_variant,IsFirstIntake,CompletedCourse,dropout,progression_degree_level,ProgressionUniversity
UK_SCOT_02,5471702600,Agent,Standard Agent Booking,,Male,27,Chinese,Pre-Masters,Pre Masters,Business_Law_Combined,standard,True,Yes,0,MSc,UK_SCOT_02
UK_SCOT_02,5798287286,Agent,Standard Agent Booking,,Male,27,Chinese,Foundation,UG Foundation Programme,Science_Health,standard,False,Yes,0,BSc,UK_SCOT_02
UK_SCOT_02,5073159875,Agent,Standard Agent Booking,,Male,25,Chinese,International Year Two,International Year Two,Business_Economics_Finance,standard,False,Yes,0,MA,UK_SCOT_02
UK_SCOT_02,9006902202,Agent,Standard Agent Booking,,Male,26,Chinese,International Year Two,International Year Two,Business_Economics_Finance,standard,True,Yes,0,MA,UK_SCOT_02
UK_SCOT_02,1792089712,Agent,Standard Agent Booking,,Male,29,Chinese,Pre-Masters,Pre Masters,Business_Law_Combined,standard,True,Yes,0,MSc,UK_SCOT_02
UK_SCOT_02,1486045555,Agent,Standard Agent Booking,,Male,25,Chinese,International Year Two,International Year Two,Business_Economics_Finance,standard,True,Yes,0,MA,UK_SCOT_02
UK_SCOT_02,2289729320,Agent,Standard Agent Booking,,Male,23,Chinese,Foundation,UG Foundation Programme,Business_Economics_Finance,standard,False,No,1,MA,UK_SCOT_02
UK_SCOT_02,8211556867,Agent,Standard Agent Booking,,Male,24,Chinese,Foundation,UG Foundation Programme,Business_Economics_Finance,standard,False,Yes,0,MA,UK_SCOT_02
UK_SCOT_02,7830631808,Direct,Sponsor,,Female,26,Iraqi,Foundation,UG Foundation Programme,Engineering_Combined,standard,True,Yes,0,BEng,UK_SCOT_02
UK_SCOT_02,5690127953,Agent,Standard Agent Booking,,Female,25,Kenyan,Foundation,UG Foundation Programme,Science_Health,standard,True,Yes,0,other_masters,UK_SCOT_02
UK_SCOT_02,5548070440,Direct,APD,,Female,25,Chinese,International Year Two,International Year Two,Business_Economics_Finance,standard,False,Yes,0,MA,UK_SCOT_02
UK_SCOT_02,5671292935,Agent,Standard Agent Booking,,Male,24,British,Foundation,UG Foundation Programme,Science_Health,standard,True,Yes,0,other_masters,UK_SCOT_02
UK_SCOT_02,5184654186,Direct,Sponsor,,Male,26,Iraqi,Foundation,UG Foundation Programme,Engineering_Combined,standard,True,Yes,0,BEng,UK_SCOT_02
UK_SCOT_02,7255214747,Direct,Sponsor,,Male,25,Iraqi,Foundation,UG Foundation Programme,Engineering_Combined,standard,True,Yes,0,BEng,UK_SCOT_02
