units,layers,activation,optimizer,lr,dropout,l2_strength,trial_id,status,val_auc,val_precision,val_recall,val_accuracy,val_loss
32,1,relu,adam,0.001,0.2,1e-05,03,COMPLETED,0.8678339123725891,0.7196261882781982,0.5273972749710083,0.9010000228881836,0.29002121090888977
48,1,relu,adam,0.001,0.1,1e-05,02,COMPLETED,0.867440938949585,0.6972476840019226,0.5205479264259338,0.8970000147819519,0.29510173201560974
48,1,relu,adam,0.001,0.0,0.0,06,COMPLETED,0.8667712211608887,0.692307710647583,0.4931506812572479,0.8939999938011169,0.2838679254055023
48,2,relu,adam,0.0003,0.0,0.0,05,COMPLETED,0.8656283617019653,0.7075471878051758,0.5136986374855042,0.8980000019073486,0.28747671842575073
48,2,relu,adam,0.001,0.2,1e-05,08,COMPLETED,0.8654838800430298,0.6944444179534912,0.5136986374855042,0.8960000276565552,0.2973518669605255
32,1,relu,adam,0.0003,0.0,1e-05,09,COMPLETED,0.8646137714385986,0.7129629850387573,0.5273972749710083,0.8999999761581421,0.2844923138618469
48,1,relu,adam,0.0003,0.1,0.0,04,COMPLETED,0.863595187664032,0.6636363863945007,0.5,0.8899999856948853,0.2846440076828003
32,1,relu,adam,0.0003,0.1,1e-05,00,COMPLETED,0.8512800335884094,0.682692289352417,0.48630136251449585,0.8920000195503235,0.29420679807662964
16,1,relu,adam,0.0003,0.2,0.0,01,COMPLETED,0.850458025932312,0.6299999952316284,0.43150684237480164,0.8799999952316284,0.29997938871383667
16,1,relu,adam,0.0003,0.1,0.0,07,COMPLETED,0.8460789322853088,0.6633663177490234,0.45890411734580994,0.8870000243186951,0.29761990904808044
