units,layers,activation,optimizer,lr,dropout,l2_strength,trial_id,status,val_auc,val_precision,val_recall,val_accuracy,val_loss
240,3,relu,adam,0.0003,0.30000000000000004,0.0001,1863,COMPLETED,0.8871857523918152,0.7260869741439819,0.5566666722297668,0.9022443890571594,0.3184770345687866
48,1,relu,adam,0.001,0.4,0.0,0623,COMPLETED,0.886974573135376,0.7298578023910522,0.5133333206176758,0.8987531065940857,0.28674593567848206
64,1,relu,adam,0.0003,0.4,0.0001,0704,COMPLETED,0.8864525556564331,0.7186146974563599,0.5533333420753479,0.9007481336593628,0.2834400534629822
112,1,tanh,rmsprop,0.001,0.30000000000000004,1e-05,1672,COMPLETED,0.8863177299499512,0.7037037014961243,0.5066666603088379,0.8942643404006958,0.2785143256187439
112,4,tanh,adam,0.0003,0.30000000000000004,0.0,1322,COMPLETED,0.8862825036048889,0.6942148804664612,0.5600000023841858,0.8972568511962891,0.2734698951244354
48,1,relu,adam,0.001,0.2,1e-05,1256,COMPLETED,0.8861642479896545,0.734883725643158,0.5266666412353516,0.9007481336593628,0.27733293175697327
112,4,tanh,rmsprop,0.0003,0.1,0.0,0134,COMPLETED,0.8860145807266235,0.7319587469100952,0.47333332896232605,0.895261824131012,0.269979864358902
16,2,elu,adam,0.001,0.0,1e-06,1255,COMPLETED,0.8858543634414673,0.7464115023612976,0.5199999809265137,0.901745617389679,0.27198806405067444
256,1,relu,adam,0.0003,0.30000000000000004,1e-05,1348,COMPLETED,0.8857771754264832,0.7285068035125732,0.5366666913032532,0.9007481336593628,0.28090912103652954
176,2,relu,adam,0.0003,0.4,0.0001,1975,COMPLETED,0.8857214450836182,0.7397260069847107,0.5400000214576721,0.9027431607246399,0.2956444323062897
32,3,elu,adam,0.001,0.4,1e-06,1019,COMPLETED,0.8856520056724548,0.7100840210914612,0.5633333325386047,0.9002493619918823,0.2689364552497864
80,4,elu,adam,0.0003,0.1,0.0001,1936,COMPLETED,0.8855866193771362,0.7196261882781982,0.5133333206176758,0.8972568511962891,0.29757460951805115
16,1,relu,adam,0.0003,0.4,1e-05,1535,COMPLETED,0.8855464458465576,0.7111111283302307,0.5333333611488342,0.8977556228637695,0.27576255798339844
112,4,relu,adam,0.001,0.4,1e-06,1673,COMPLETED,0.8855005502700806,0.7219917178153992,0.5799999833106995,0.903740644454956,0.27320927381515503
240,1,relu,adam,0.0003,0.2,0.0001,0874,COMPLETED,0.8854408860206604,0.7314814925193787,0.5266666412353516,0.9002493619918823,0.2869710922241211
144,1,relu,adam,0.001,0.2,1e-05,1398,COMPLETED,0.8854389786720276,0.7414634227752686,0.5066666603088379,0.8997506499290466,0.2755492329597473
