units,layers,activation,optimizer,lr,dropout,l2_strength,trial_id,status,val_auc,val_precision,val_recall,val_accuracy,val_loss
48,1,relu,adam,0.001,0.2,1e-06,127,COMPLETED,0.8866950273513794,0.737089216709137,0.5233333110809326,0.9007481336593628,0.27492350339889526
144,3,tanh,adam,0.0003,0.4,0.0,185,COMPLETED,0.8865571618080139,0.7033898234367371,0.5533333420753479,0.8982543349266052,0.2738760709762573
80,1,relu,adam,0.0003,0.1,1e-06,058,COMPLETED,0.8861182928085327,0.7276785969734192,0.5433333516120911,0.9012469053268433,0.27559641003608704
112,3,relu,adam,0.0003,0.4,0.0,073,COMPLETED,0.8858816623687744,0.721030056476593,0.5600000023841858,0.901745617389679,0.27498629689216614
160,2,tanh,adam,0.0003,0.1,0.0001,018,COMPLETED,0.8858807682991028,0.7104072570800781,0.5233333110809326,0.8967580795288086,0.29793834686279297
176,4,tanh,adam,0.001,0.4,0.0,041,COMPLETED,0.8856568336486816,0.7222222089767456,0.5199999809265137,0.8982543349266052,0.27164098620414734
128,4,tanh,adam,0.0003,0.4,1e-06,179,COMPLETED,0.8855874538421631,0.6899224519729614,0.5933333039283752,0.8992518782615662,0.27799975872039795
64,2,relu,adam,0.001,0.30000000000000004,1e-06,070,COMPLETED,0.8852375745773315,0.7424242496490479,0.49000000953674316,0.8982543349266052,0.2825240194797516
96,3,tanh,adam,0.001,0.2,1e-05,104,COMPLETED,0.8852375149726868,0.7058823704719543,0.5600000023841858,0.8992518782615662,0.27483201026916504
192,3,tanh,adam,0.0003,0.4,0.0,068,COMPLETED,0.8852267861366272,0.7155172228813171,0.5533333420753479,0.9002493619918823,0.2738172709941864
96,1,relu,adam,0.001,0.30000000000000004,0.0,080,COMPLETED,0.8852052688598633,0.7320573925971985,0.5099999904632568,0.8987531065940857,0.274528831243515
112,1,relu,adam,0.001,0.4,1e-05,154,COMPLETED,0.8851007223129272,0.7293577790260315,0.5299999713897705,0.9002493619918823,0.28355109691619873
192,3,relu,adam,0.0003,0.4,0.0001,011,COMPLETED,0.8850879669189453,0.7124999761581421,0.5699999928474426,0.9012469053268433,0.30591410398483276
176,3,relu,adam,0.0003,0.4,0.0001,009,COMPLETED,0.8850830793380737,0.7174887657165527,0.5333333611488342,0.8987531065940857,0.30374547839164734
112,4,tanh,adam,0.0003,0.4,0.0,132,COMPLETED,0.8848680257797241,0.6892430186271667,0.5766666531562805,0.8977556228637695,0.279042512178421
