number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.8737497556207233,2026-03-23 17:58:35.691706,2026-03-23 17:58:36.156250,0 days 00:00:00.464544,0.662397808134481,2.993292420985183,0.030710573677773714,8,6.1652988679205905,3.3323645788192616e-08,15.994091701280443,0.6624074561769746,COMPLETE
1,0.8821202346041055,2026-03-23 17:58:36.175586,2026-03-23 17:58:36.562819,0 days 00:00:00.387233,0.6849356442713105,4.8495492608099715,0.06054365855469246,7,1.0524813290090214,4.329370014459266e-07,0.0476878541548261,0.9329770563201687,COMPLETE
2,0.8802932551319647,2026-03-23 17:58:36.583895,2026-03-23 17:58:37.277730,0 days 00:00:00.693835,0.6557975442608167,1.4561457009902097,0.024878734419814436,6,2.9251420662620613,4.258943089524393e-06,0.2265486450485179,0.8447411578889518,COMPLETE
3,0.883407624633431,2026-03-23 17:58:37.296036,2026-03-23 17:58:37.762062,0 days 00:00:00.466026,0.6185801650879991,2.571172192068058,0.03920673972242137,7,1.6424199098700283,0.0029369981104377003,0.04273302319375403,0.836965827544817,COMPLETE
4,0.8639227761485827,2026-03-23 17:58:37.783834,2026-03-23 17:58:38.026715,0 days 00:00:00.242881,0.6390688456025535,4.041986740582305,0.012151617026673379,8,11.017726329332461,0.014391207615728067,0.42472797953697183,0.7218455076693483,COMPLETE
5,0.857145650048876,2026-03-23 17:58:38.046815,2026-03-23 17:58:38.297378,0 days 00:00:00.250563,0.8650089137415928,4.546602010393911,0.014413697528610409,5,1.0892095664617725,6.388511557344611e-06,0.8389112347840599,0.7035119926400067,COMPLETE
6,0.8703010752688173,2026-03-23 17:58:38.316689,2026-03-23 17:58:38.720872,0 days 00:00:00.404183,0.9579309401710595,3.8756641168055728,0.05143828405076928,4,11.126473726362773,0.002404915432737351,25.703078530155583,0.9757995766256756,COMPLETE
7,0.8416109481915933,2026-03-23 17:58:38.741126,2026-03-23 17:58:39.006270,0 days 00:00:00.265144,0.7085396127095583,1.6266516538163218,0.01303561122512888,4,1.11894423226026,0.28749982347407854,0.2087468133288228,0.7554709158757928,COMPLETE
8,0.8817653958944282,2026-03-23 17:58:39.025346,2026-03-23 17:58:39.605297,0 days 00:00:00.579951,0.9947547746402069,4.010984903770199,0.023200867504756827,6,1.4193280334856115,0.08916674715636537,0.054330455407981273,0.6298202574719083,COMPLETE
9,0.8646588465298143,2026-03-23 17:58:39.625501,2026-03-23 17:58:39.891884,0 days 00:00:00.266383,0.6296178606936361,3.6450358402049368,0.010166803740022877,7,5.791981807906877,1.683416412018213e-05,0.026828486654670216,0.9085081386743783,COMPLETE
10,0.8776402737047898,2026-03-23 17:58:39.911083,2026-03-23 17:58:40.303797,0 days 00:00:00.392714,0.7707251581533257,0.08980937807409806,0.1583947083699527,3,2.14811645802385,4.3444691085504115,0.011062222658903343,0.8262452362725613,COMPLETE
11,0.8829843597262952,2026-03-23 17:58:40.324242,2026-03-23 17:58:40.665165,0 days 00:00:00.340923,0.7435145190038788,2.230725746541046,0.07082212183832219,7,1.7520439483327708,4.077391468444027e-08,2.242636398411736,0.9193086824158574,COMPLETE
12,0.8843851417399804,2026-03-23 17:58:40.685238,2026-03-23 17:58:41.094935,0 days 00:00:00.409697,0.8111115572120128,2.316936986365618,0.08848876453029195,7,1.9414748041655097,0.0001653282123997987,3.1880835564182064,0.8786566744908333,COMPLETE
13,0.8806891495601173,2026-03-23 17:58:41.117149,2026-03-23 17:58:41.432157,0 days 00:00:00.315008,0.8433892859373125,2.76582882187381,0.105627570472361,7,2.521389209978733,0.0005844317258424099,4.206934155990672,0.8604063212686379,COMPLETE
14,0.8831573802541545,2026-03-23 17:58:41.451289,2026-03-23 17:58:41.797133,0 days 00:00:00.345844,0.818170930502504,1.7204118749910395,0.10213768326528573,8,3.439103407628125,0.0001319968782396929,5.372836536582569,0.78603076838465,COMPLETE
15,0.8835806451612903,2026-03-23 17:58:41.817220,2026-03-23 17:58:42.389727,0 days 00:00:00.572507,0.8997265647408832,0.827781406926889,0.03787853229407561,6,1.8433510559644803,0.00023557327983584573,1.2387515455604654,0.8739392608865626,COMPLETE
16,0.8826774193548387,2026-03-23 17:58:42.409201,2026-03-23 17:58:42.869091,0 days 00:00:00.459890,0.8957721845770973,0.4294336766666748,0.09206809667293595,5,4.5146434896316165,7.94431386074773e-05,1.2408299094848398,0.9989969068114635,COMPLETE
17,0.8832717497556206,2026-03-23 17:58:42.888530,2026-03-23 17:58:43.236784,0 days 00:00:00.348254,0.9080417125672742,0.9151650142522019,0.17848332475021594,6,2.0885260073576153,2.1054455505130043e-06,5.276440121780659,0.8887781922242812,COMPLETE
18,0.8767497556207233,2026-03-23 17:58:43.255810,2026-03-23 17:58:44.009732,0 days 00:00:00.753922,0.7811543073740298,0.9323679102270582,0.037029175563739726,5,4.1943275024925395,0.00036834887982293776,47.67438446142808,0.7896629454089337,COMPLETE
19,0.8800664711632454,2026-03-23 17:58:44.028493,2026-03-23 17:58:44.859481,0 days 00:00:00.830988,0.930746924386335,2.1637280559024568,0.019277403114403114,6,1.3921132539296608,0.03387557668886888,11.558175145767358,0.8760530415775851,COMPLETE
20,0.8772580645161291,2026-03-23 17:58:44.877066,2026-03-23 17:58:45.176994,0 days 00:00:00.299928,0.8585903926458035,3.217047827783804,0.1349176482082375,4,2.5674779490597395,2.991838516159543e-07,1.7679929251529454,0.9593360206319026,COMPLETE
21,0.8835894428152492,2026-03-23 17:58:45.196375,2026-03-23 17:58:45.606266,0 days 00:00:00.409891,0.7236518953127804,2.3453337146688007,0.04330356622489106,7,1.6574436608152745,0.00499994453527138,0.33056150125297545,0.8192084933403653,COMPLETE
22,0.8841544477028347,2026-03-23 17:58:45.626505,2026-03-23 17:58:45.996275,0 days 00:00:00.369770,0.7388982621170698,1.1079712478507209,0.07253075509907853,7,1.8534809632499352,0.003228336154945688,0.4252285349710947,0.8189826012235379,COMPLETE
23,0.8842570869990225,2026-03-23 17:58:46.016150,2026-03-23 17:58:46.359373,0 days 00:00:00.343223,0.7321402985710589,2.0099079215245155,0.08305512975192045,8,1.3976103463897498,0.0046190198800158165,0.39528761655566913,0.815180879333553,COMPLETE
